ns:user.kerksieck.default_domain.asterism.constellation	ns:user.kerksieck.default_domain.asterism	ns:astronomy.constellation
ns:projects.project.participants..projects.project_participation.participant	ns:projects.project	ns:projects.project_participant
ns:music.artist.label	ns:music.artist	ns:music.record_label
ns:base.popstra.celebrity.bought..base.popstra.product_choice.product	ns:base.popstra.celebrity	ns:base.popstra.product
ns:olympics.olympic_participating_country.demonstration_medals_won..olympics.olympic_demonstration_medal_honor.medal	ns:olympics.olympic_participating_country	ns:olympics.olympic_medal_demonstration
ns:base.yalebase.college_dean.dean_of_college	ns:base.yalebase.college_dean	ns:base.yalebase.residential_college
ns:user.psych0fred.default_domain.discovered_by.location	ns:user.psych0fred.default_domain.discovered_by	ns:location.location
ns:medicine.disease.risk_factors	ns:medicine.disease	ns:medicine.risk_factor
ns:base.localfood.seasonal_month.produce_available..base.localfood.produce_availability.seasonal_months	ns:base.localfood.seasonal_month	ns:base.localfood.seasonal_month
ns:cvg.computer_game_expansion.expansion_for	ns:cvg.computer_game_expansion	ns:cvg.computer_videogame
ns:base.motorcycle.motorcycle_series.model	ns:base.motorcycle.motorcycle_series	ns:base.motorcycle.motorcycle_model
ns:music.performance_venue.concerts	ns:music.performance_venue	ns:music.concert
ns:government.governmental_jurisdiction.governing_officials..government.government_position_held.district_represented	ns:government.governmental_jurisdiction	ns:government.political_district
ns:base.skosbase.skos_concept.narrower	ns:base.skosbase.skos_concept	ns:base.skosbase.skos_concept
ns:tennis.tennis_player.matches_won..tennis.tennis_match.loser	ns:tennis.tennis_player	ns:tennis.tennis_player
ns:base.tallships.tall_ship_in_film.films	ns:base.tallships.tall_ship_in_film	ns:base.tallships.film_with_tall_ships
ns:user.tsegaran.random.subject_taxonomy.entry..user.tsegaran.random.taxonomy_entry.subject	ns:user.tsegaran.random.subject_taxonomy	ns:user.tsegaran.random.taxonomy_subject
ns:location.capital_category.capitals_of_administrative_divisions..location.administrative_division_capital_relationship.capital	ns:location.capital_category	ns:location.capital_of_administrative_division
ns:astronomy.constellation.bordering_constellations_new..astronomy.constellation_bordering_relationship.constellations	ns:astronomy.constellation	ns:astronomy.constellation
ns:basketball.basketball_player.former_teams..basketball.basketball_historical_roster_position.team	ns:sports.pro_athlete	ns:sports.sports_team
ns:base.ikariam.ikariam_research.buildings_unlocked	ns:base.ikariam.ikariam_research	ns:base.ikariam.ikariam_buildings
ns:base.politeuri.biohacker.member_of	ns:base.politeuri.biohacker	ns:base.politeuri.provider
ns:baseball.baseball_team.current_roster..sports.sports_team_roster.position	ns:baseball.baseball_team	ns:sports.sports_position
ns:american_football.football_team.division	ns:american_football.football_team	ns:american_football.football_division
ns:sports.sport_country.athletes..sports.competitor_country_relationship.sports	ns:sports.sport_country	ns:sports.sport
ns:zoos.zoo_exhibit.notable_animals..zoos.animal_captivity.zoo	ns:zoos.zoo_exhibit	ns:zoos.zoo
ns:base.crime.warrant_issuer.warrants_issued..base.crime.arrest_warrants.crime_event	ns:base.crime.warrant_issuer	ns:base.crime.crime
